"";"ASSETID";"PERIOD";"PRICE";"UNITPRICE";"CONSTRUCTEDAREA";"ROOMNUMBER";"BATHNUMBER";"HASTERRACE";"HASLIFT";"HASAIRCONDITIONING";"AMENITYID";"HASPARKINGSPACE";"ISPARKINGSPACEINCLUDEDINPRICE";"PARKINGSPACEPRICE";"HASNORTHORIENTATION";"HASSOUTHORIENTATION";"HASEASTORIENTATION";"HASWESTORIENTATION";"HASBOXROOM";"HASWARDROBE";"HASSWIMMINGPOOL";"HASDOORMAN";"HASGARDEN";"ISDUPLEX";"ISSTUDIO";"ISINTOPFLOOR";"CONSTRUCTIONYEAR";"FLOORCLEAN";"FLATLOCATIONID";"CADCONSTRUCTIONYEAR";"CADMAXBUILDINGFLOOR";"CADDWELLINGCOUNT";"CADASTRALQUALITYID";"BUILTTYPEID_1";"BUILTTYPEID_2";"BUILTTYPEID_3";"DISTANCE_TO_CITY_CENTER";"DISTANCE_TO_METRO";"DISTANCE_TO_DIAGONAL";"LONGITUDE";"LATITUDE";"CUSEC";"CUMUN";"CSEC";"CDIS";"CMUN";"CPRO";"CCA";"CUDIS";"CLAU2";"NPRO";"NCA";"CNUT0";"CNUT1";"CNUT2";"CNUT3";"NMUN";"Shape_Leng";"Shape_Area";"geometry";"Renta.media.por.persona";"Renta.media.por.hogar"
"35738";"A4712222700390695146";201812;330000;3928,57142857143;84;4;1;0;1;1;3;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1970;2;1;1970;9;54;3;0;0;1;3,68958853803963;0,318356976548679;1,05125808786093;2,12734159926774;41,3784647688507;"0801904037";"08019";"037";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";889,535102242;45657,5567374;c(928814.000003084, 4593472.99988438);17434;43380
"35739";"A12623991721768569252";201812;397000;3817,30769230769;104;4;2;0;1;1;3;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1982;1;1;1982;10;54;4;0;0;1;3,81947651710522;0,275896293771908;1,05153714748356;2,1258363684453;41,3781718829483;"0801904038";"08019";"038";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";548,674227744;18568,9798378;c(928690.000003084, 4593432.99988437);17693;43871
"35740";"A6824375620920884106";201812;269000;4269,84126984127;63;2;1;0;1;1;3;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;3;1;1966;16;62;3;0;0;1;3,55453605897541;0,31968342846322;0,684746261052057;2,12798369694268;41,3820643245161;"0801904036";"08019";"036";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";761,489976725;30553,0394272;c(928844.000003085, 4593875.99988437);15271;36287
"35742";"A3919217803888865403";201812;282000;3397,59036144578;83;3;2;0;1;1;3;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1979;1;1;1979;9;63;3;0;0;1;4,08403686436302;0,197175620228478;1,17186939729574;2,12328128520981;41,3762332655742;"0801904042";"08019";"042";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";533,828606614;18449,3998952;c(928489.000003081, 4593204.99988438);14469;33507
"35744";"A7515942351327283229";201812;679000;4619,04761904762;147;4;2;0;1;0;3;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1989;8;NA;1989;10;71;3;0;0;1;4,91977738168247;0,523967766557629;0,744118114604634;2,11248474455912;41,377561005489;"0801904046";"08019";"046";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";1026,25200235;59927,2386632;c(927577.000003075, 4593298.99988438);23527;61423
"35745";"A2120522464596015156";201812;543000;4275,5905511811;127;4;2;1;1;0;3;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1971;3;1;1971;10;38;2;0;1;0;3,59031459747846;0,295684326190505;0,525245754283622;2,12731259548958;41,383408759557;"0801904084";"08019";"084";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";736,902284596;23680,4085033;c(928779.000003085, 4594021.99988437);23215;56089
"35746";"A15871722973547914341";201812;307000;4263,88888888889;72;2;1;0;1;1;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1965;2;1;1965;10;36;3;0;0;1;4,16087110872866;0,143426285661545;1,10987278398382;2,12219475429109;41,376551856043;"0801904042";"08019";"042";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";533,828606614;18449,3998952;c(928396.000003081, 4593234.99988437);14469;33507
"35747";"A8204614873144435609";201812;418000;6147,05882352941;68;2;1;1;1;1;3;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;2014;6;1;2014;6;37;3;0;0;1;4,98685658322928;0,412333847720688;0,847021891995277;2,11199312676094;41,3764755206752;"0801904047";"08019";"047";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";4266,65164029;572598,197096;c(927543.000003075, 4593175.99988437);18040;46666
"35748";"A9922087410254018813";201812;399000;4433,33333333333;90;3;2;0;1;1;3;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2004;3;1;2004;4;5;4;0;0;1;3,93455720086444;0,265679571866975;1,03798353454408;2,12449164171952;41,3779438352121;"0801904040";"08019";"040";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";738,729235201;27880,3400347;c(928579.000003083, 4593400.99988437);13113;30823
"35749";"A9712430417874378521";201812;338000;4225;80;3;1;0;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;NA;5;1;1970;10;56;4;0;0;1;4,73365883675289;0,327342295735689;0,85274995380827;2,1148724797366;41,3772205364733;"0801904045";"08019";"045";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";679,157675342;22632,4028875;c(927779.000003077, 4593272.99988437);15175;37483
"35751";"A1377977918162762244";201812;312000;2836,36363636364;110;4;2;0;1;0;3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;NA;1;1;1970;5;11;4;0;0;1;4,43485670575468;0,109065498064266;1,00757670209493;2,11872938879361;41,3767154676278;"0801904044";"08019";"044";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";892,644376107;49151,9859062;c(928105.000003079, 4593235.99988437);15785;40013
"35752";"A1109916442328044035";201812;256000;3413,33333333333;75;4;2;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;NA;1;1;1936;4;3;6;0;0;1;4,43811387512181;0,312041168022599;0,79250617345478;2,11808783132934;41,3785897158291;"0801904043";"08019";"043";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";1844,49318892;149272,006832;c(928039.000003078, 4593440.99988437);21229;52093
"35753";"A12764798784565691400";201812;811000;5554,79452054795;146;4;3;0;1;1;3;0;0;50001;0;0;1;1;1;0;0;0;0;0;0;0;1969;9;1;1969;11;67;2;0;0;1;3,7695663174117;0,271624439554665;0,221091182913019;2,12493020318553;41,3857929539127;"0801904049";"08019";"049";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";3973,43817429;806678,799651;c(928564.000003083, 4594274.99988436);25388;67661
"35755";"A8347647391047290884";201812;270000;3970,58823529412;68;2;1;0;1;1;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1971;2;1;1971;9;27;4;0;0;1;3,62728467782711;0,433112087588455;0,952975259722053;2,12775919108164;41,3795174791411;"0801904037";"08019";"037";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";889,535102242;45657,5567374;c(928842.000003085, 4593591.99988437);17434;43380
"35756";"A12423660190803997317";201812;258000;2898,87640449438;89;3;1;0;1;0;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1957;3;2;1957;8;32;3;0;0;1;4,12760432641754;0,157065172281346;1,22418170651359;2,12297336858522;41,3756618092753;"0801903080";"08019";"080";"03";"019";"08";"09";"0801903";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";816,386401363;21983,2849529;c(928467.000003081, 4593139.99988438);13769;33199
"35757";"A4587713904750106027";201812;318000;4608,69565217391;69;2;1;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1999;2;1;1999;10;28;4;0;0;1;3,69692546966065;0,335234916278188;1,03165376460887;2,12719805859746;41,3786152309909;"0801904037";"08019";"037";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";889,535102242;45657,5567374;c(928801.000003084, 4593488.99988437);17434;43380
